goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: 12th Gen Intel(R) Core(TM) i5-1240P
                                      │ /home/ap/.claude/jobs/1f5f0c48/tmp/rerun2/clean.txt │
                                      │                       sec/op                        │
Load/env_large/warm/ferry-6                                                  27.08Ki ± 0%
Load/env_large/cold/koanf-6                                                  94.50Ki ± 0%
Load/env_large/warm/koanf-6                                                  94.48Ki ± 0%
Load/env_large/cold/viper-6                                                  56.52Ki ± 0%
Load/env_large/warm/viper-6                                                  47.77Ki ± 0%
Load/env_large/cold/xload-6                                                  12.89Ki ± 0%
Load/env_large/warm/xload-6                                                  12.88Ki ± 0%
Load/env_large/cold/go-envconfig-6                                           1.375Ki ± 0%
Load/env_large/warm/go-envconfig-6                                           1.359Ki ± 0%
Load/env_large/cold/kelseyhightower-6                                        31.18Ki ± 0%
Load/env_large/warm/kelseyhightower-6                                        31.17Ki ± 0%
Load/env_large/cold/stdlib-6                                                  1008.0 ± 0%
Load/env_large/warm/stdlib-6                                                  1008.0 ± 0%
Load/yaml_small/cold/ferry-6                                                 13.82Ki ± 0%
Load/yaml_small/warm/ferry-6                                                 11.03Ki ± 0%
Load/yaml_small/cold/koanf-6                                                 17.41Ki ± 0%
Load/yaml_small/warm/koanf-6                                                 17.38Ki ± 0%
Load/yaml_small/cold/viper-6                                                 16.32Ki ± 0%
Load/yaml_small/warm/viper-6                                                 15.48Ki ± 0%
Load/yaml_small/cold/xload-6                                                 11.44Ki ± 0%
Load/yaml_small/warm/xload-6                                                  1000.0 ± 0%
Load/yaml_small/cold/stdlib-6                                                9.854Ki ± 0%
Load/yaml_small/warm/stdlib-6                                                9.823Ki ± 0%
Load/yaml_large/cold/ferry-6                                                 75.19Ki ± 0%
Load/yaml_large/warm/ferry-6                                                 48.10Ki ± 0%
Load/yaml_large/cold/koanf-6                                                 122.3Ki ± 0%
Load/yaml_large/warm/koanf-6                                                 122.3Ki ± 0%
Load/yaml_large/cold/viper-6                                                 96.70Ki ± 0%
Load/yaml_large/warm/viper-6                                                 95.86Ki ± 0%
Load/yaml_large/cold/stdlib-6                                                39.74Ki ± 0%
Load/yaml_large/warm/stdlib-6                                                39.71Ki ± 0%
Load/dump_large/cold/ferry-6                                                 209.1Ki ± 0%
Load/dump_large/warm/ferry-6                                                 180.0Ki ± 0%
Load/dump_large/cold/koanf-6                                                 195.2Ki ± 0%
Load/dump_large/warm/koanf-6                                                 193.0Ki ± 0%
Load/dump_large/cold/viper-6                                                 166.8Ki ± 0%
Load/dump_large/warm/viper-6                                                 164.6Ki ± 0%
Load/dump_large/cold/stdlib-6                                                125.3Ki ± 0%
Load/dump_large/warm/stdlib-6                                                123.2Ki ± 0%
StructTagCost/pooled-6                                                         0.000 ± 0%
StructTagCost/per_library-6                                                    0.000 ± 0%
geomean                                                                                   ¹
¹ summaries must be >0 to compute geomean

                                      │ /home/ap/.claude/jobs/1f5f0c48/tmp/rerun2/clean.txt │
                                      │                      allocs/op                      │
Load/env_small/cold/ferry-6                                                    95.00 ± 0%
Load/env_small/warm/ferry-6                                                    41.00 ± 0%
Load/env_small/cold/koanf-6                                                    172.0 ± 0%
Load/env_small/warm/koanf-6                                                    171.0 ± 0%
Load/env_small/cold/viper-6                                                    89.00 ± 0%
Load/env_small/warm/viper-6                                                    67.00 ± 0%
Load/env_small/cold/xload-6                                                    18.00 ± 0%
Load/env_small/warm/xload-6                                                    17.00 ± 0%
Load/env_small/cold/go-envconfig-6                                             1.000 ± 0%
Load/env_small/warm/go-envconfig-6                                             0.000 ± 0%
Load/env_small/cold/kelseyhightower-6                                          57.00 ± 0%
Load/env_small/warm/kelseyhightower-6                                          56.00 ± 0%
Load/env_small/cold/stdlib-6                                                   0.000 ± 0%
Load/env_small/warm/stdlib-6                                                   0.000 ± 0%
Load/env_large/cold/ferry-6                                                    735.0 ± 0%
Load/env_large/warm/ferry-6                                                    293.0 ± 0%
Load/env_large/cold/koanf-6                                                   1.874k ± 0%
Load/env_large/warm/koanf-6                                                   1.873k ± 0%
Load/env_large/cold/viper-6                                                   1.017k ± 0%
Load/env_large/warm/viper-6                                                    920.0 ± 0%
Load/env_large/cold/xload-6                                                    252.0 ± 0%
Load/env_large/warm/xload-6                                                    251.0 ± 0%
Load/env_large/cold/go-envconfig-6                                             28.00 ± 0%
Load/env_large/warm/go-envconfig-6                                             27.00 ± 0%
Load/env_large/cold/kelseyhightower-6                                          910.0 ± 0%
Load/env_large/warm/kelseyhightower-6                                          909.0 ± 0%
Load/env_large/cold/stdlib-6                                                   5.000 ± 0%
Load/env_large/warm/stdlib-6                                                   5.000 ± 0%
Load/yaml_small/cold/ferry-6                                                   161.0 ± 0%
Load/yaml_small/warm/ferry-6                                                   107.0 ± 0%
Load/yaml_small/cold/koanf-6                                                   250.0 ± 0%
Load/yaml_small/warm/koanf-6                                                   249.0 ± 0%
Load/yaml_small/cold/viper-6                                                   183.0 ± 0%
Load/yaml_small/warm/viper-6                                                   171.0 ± 0%
Load/yaml_small/cold/xload-6                                                   138.0 ± 0%
Load/yaml_small/warm/xload-6                                                   23.00 ± 0%
Load/yaml_small/cold/stdlib-6                                                  99.00 ± 0%
Load/yaml_small/warm/stdlib-6                                                  98.00 ± 0%
Load/yaml_large/cold/ferry-6                                                  1.212k ± 0%
Load/yaml_large/warm/ferry-6                                                   770.0 ± 0%
Load/yaml_large/cold/koanf-6                                                  2.424k ± 0%
Load/yaml_large/warm/koanf-6                                                  2.423k ± 0%
Load/yaml_large/cold/viper-6                                                  1.704k ± 0%
Load/yaml_large/warm/viper-6                                                  1.692k ± 0%
Load/yaml_large/cold/stdlib-6                                                  751.0 ± 0%
Load/yaml_large/warm/stdlib-6                                                  750.0 ± 0%
Load/dump_large/cold/ferry-6                                                  2.381k ± 0%
Load/dump_large/warm/ferry-6                                                  1.936k ± 0%
Load/dump_large/cold/koanf-6                                                  2.369k ± 0%
Load/dump_large/warm/koanf-6                                                  2.358k ± 0%
Load/dump_large/cold/viper-6                                                  1.708k ± 0%
Load/dump_large/warm/viper-6                                                  1.697k ± 0%
Load/dump_large/cold/stdlib-6                                                 1.104k ± 0%
Load/dump_large/warm/stdlib-6                                                 1.093k ± 0%
StructTagCost/pooled-6                                                         0.000 ± 0%
StructTagCost/per_library-6                                                    0.000 ± 0%
geomean                                                                                   ¹
¹ summaries must be >0 to compute geomean
