goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: INTEL(R) XEON(R) PLATINUM 8573C
                                      │   rerun.txt   │
                                      │    sec/op     │
Load/env_large/warm/ferry-4              218.0 ± 0%
Load/env_large/cold/koanf-4             1.874k ± 0%
Load/env_large/warm/koanf-4             1.873k ± 0%
Load/env_large/cold/viper-4             1.017k ± 0%
Load/env_large/warm/viper-4              920.0 ± 0%
Load/env_large/cold/xload-4              252.0 ± 0%
Load/env_large/warm/xload-4              251.0 ± 0%
Load/env_large/cold/go-envconfig-4       28.00 ± 0%
Load/env_large/warm/go-envconfig-4       27.00 ± 0%
Load/env_large/cold/kelseyhightower-4    910.0 ± 0%
Load/env_large/warm/kelseyhightower-4    909.0 ± 0%
Load/env_large/cold/stdlib-4             5.000 ± 0%
Load/env_large/warm/stdlib-4             5.000 ± 0%
Load/yaml_small/cold/ferry-4             157.0 ± 0%
Load/yaml_small/warm/ferry-4             103.0 ± 0%
Load/yaml_small/cold/koanf-4             250.0 ± 0%
Load/yaml_small/warm/koanf-4             249.0 ± 0%
Load/yaml_small/cold/viper-4             183.0 ± 0%
Load/yaml_small/warm/viper-4             171.0 ± 0%
Load/yaml_small/cold/xload-4             138.0 ± 0%
Load/yaml_small/warm/xload-4             23.00 ± 0%
Load/yaml_small/cold/stdlib-4            99.00 ± 0%
Load/yaml_small/warm/stdlib-4            98.00 ± 0%
Load/yaml_large/cold/ferry-4            1.186k ± 0%
Load/yaml_large/warm/ferry-4             744.0 ± 0%
Load/yaml_large/cold/koanf-4            2.424k ± 0%
Load/yaml_large/warm/koanf-4            2.423k ± 0%
Load/yaml_large/cold/viper-4            1.704k ± 0%
Load/yaml_large/warm/viper-4            1.692k ± 0%
Load/yaml_large/cold/stdlib-4            751.0 ± 0%
Load/yaml_large/warm/stdlib-4            750.0 ± 0%
Load/dump_large/cold/ferry-4            2.356k ± 0%
Load/dump_large/warm/ferry-4            1.910k ± 0%
Load/dump_large/cold/koanf-4            2.369k ± 0%
Load/dump_large/warm/koanf-4            2.358k ± 0%
Load/dump_large/cold/viper-4            1.708k ± 0%
Load/dump_large/warm/viper-4            1.697k ± 0%
Load/dump_large/cold/stdlib-4           1.104k ± 0%
Load/dump_large/warm/stdlib-4           1.093k ± 0%
StructTagCost/pooled-4                   0.000 ± 0%
StructTagCost/per_library-4              0.000 ± 0%
geomean                                             ¹
¹ summaries must be >0 to compute geomean
